what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1393121920011
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393121920836
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393121923033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121929138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121931593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121970041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121985414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121992282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393122002669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393122003798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393122004275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393122147098
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1393122211689
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393122224963
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1393122231701
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393122231716
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1393122231733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393122871858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123179072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123524692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123529632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123594917
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123969632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123992000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123994185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393123997466
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124000361
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393124003969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124005541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124007108
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1393124014567
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1393124015618
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1393124016136
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393124018968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124030964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124031643
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1393124066412
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393124067198
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393124122791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124129074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124129174
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393124133816
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393124166078
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1393124171030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124171810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124173862
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.line",1393124173874
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1393124175324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1393124176097
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1393124176370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1393124177414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1393124187839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124203018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124205222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124207500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124210398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124214151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124223302
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393124223334
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393124237803
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1393124240535
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1393124257278
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1393124260561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124260617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124262339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124262517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124271474
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1393124272195
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1393124272274
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1393124272312
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1393124273010
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1393124278578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124278598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124279945
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1393124282584
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1393124283304
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1393124284038
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1393124284797
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1393124288000
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1393124294133
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393124297000
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1393124300009
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1393124302313
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1393124306919
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1393124312007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124312027
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124313351
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1393124315412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124544022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124629041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393124629841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126427059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126428718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126507544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126511467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126512895
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393126513328
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1393126514279
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1393126515410
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1393126515539
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1393126515594
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1393126515627
